,Unnamed: 0,name,sic,fye,form,period,fy,fp,filed,ticker,cik,ddate,qtrs,uom,value,adsh,stmt,tag,version,plabel
1108289,28790,AMERICAN AIRLINES GROUP INC.,4512.0,1231.0,10-K,20171231.0,2017.0,FY,20180221,aal,6201,20161231,0.0,USD,1592000000.0,0000006201-18-000009,BS,AccountsPayableCurrent,us-gaap/2017,Accounts payable
1108290,28791,AMERICAN AIRLINES GROUP INC.,4512.0,1231.0,10-K,20171231.0,2017.0,FY,20180221,aal,6201,20171231,0.0,USD,1688000000.0,0000006201-18-000009,BS,AccountsPayableCurrent,us-gaap/2017,Accounts payable
1108291,28792,AMERICAN AIRLINES GROUP INC.,4512.0,1231.0,10-K,20171231.0,2017.0,FY,20180221,aal,6201,20161231,0.0,USD,14194000000.0,0000006201-18-000009,BS,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,us-gaap/2017,Less accumulated depreciation and amortization
1108292,28793,AMERICAN AIRLINES GROUP INC.,4512.0,1231.0,10-K,20171231.0,2017.0,FY,20180221,aal,6201,20171231,0.0,USD,15646000000.0,0000006201-18-000009,BS,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,us-gaap/2017,Less accumulated depreciation and amortization
1108293,28794,AMERICAN AIRLINES GROUP INC.,4512.0,1231.0,10-K,20171231.0,2017.0,FY,20180221,aal,6201,20151231,0.0,USD,-4732000000.0,0000006201-18-000009,BS,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2017,Accumulated other comprehensive loss
1108294,28795,AMERICAN AIRLINES GROUP INC.,4512.0,1231.0,10-K,20171231.0,2017.0,FY,20180221,aal,6201,20161231,0.0,USD,-5083000000.0,0000006201-18-000009,BS,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2017,Accumulated other comprehensive loss
1108295,28796,AMERICAN AIRLINES GROUP INC.,4512.0,1231.0,10-K,20171231.0,2017.0,FY,20180221,aal,6201,20171231,0.0,USD,-5154000000.0,0000006201-18-000009,BS,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2017,Accumulated other comprehensive loss
1108296,28797,AMERICAN AIRLINES GROUP INC.,4512.0,1231.0,10-K,20171231.0,2017.0,FY,20180221,aal,6201,20161231,0.0,USD,7223000000.0,0000006201-18-000009,BS,AdditionalPaidInCapitalCommonStock,us-gaap/2017,Additional paid-in capital
1108297,28798,AMERICAN AIRLINES GROUP INC.,4512.0,1231.0,10-K,20171231.0,2017.0,FY,20180221,aal,6201,20171231,0.0,USD,5714000000.0,0000006201-18-000009,BS,AdditionalPaidInCapitalCommonStock,us-gaap/2017,Additional paid-in capital
1108298,28799,AMERICAN AIRLINES GROUP INC.,4512.0,1231.0,10-K,20171231.0,2017.0,FY,20180221,aal,6201,20151231,4.0,USD,306000000.0,0000006201-18-000009,EQ,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,us-gaap/2017,Cash tax withholding on shares issued
1108299,28800,AMERICAN AIRLINES GROUP INC.,4512.0,1231.0,10-K,20171231.0,2017.0,FY,20180221,aal,6201,20161231,4.0,USD,56000000.0,0000006201-18-000009,EQ,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,us-gaap/2017,Cash tax withholding on shares issued
1108300,28801,AMERICAN AIRLINES GROUP INC.,4512.0,1231.0,10-K,20171231.0,2017.0,FY,20180221,aal,6201,20171231,4.0,USD,51000000.0,0000006201-18-000009,EQ,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,us-gaap/2017,Cash tax withholding on shares issued
1108301,28802,AMERICAN AIRLINES GROUP INC.,4512.0,1231.0,10-K,20171231.0,2017.0,FY,20180221,aal,6201,20151231,4.0,USD,284000000.0,0000006201-18-000009,EQ,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap/2017,Share-based compensation expense
1108302,28803,AMERICAN AIRLINES GROUP INC.,4512.0,1231.0,10-K,20171231.0,2017.0,FY,20180221,aal,6201,20161231,4.0,USD,100000000.0,0000006201-18-000009,EQ,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap/2017,Share-based compensation expense
1108303,28804,AMERICAN AIRLINES GROUP INC.,4512.0,1231.0,10-K,20171231.0,2017.0,FY,20180221,aal,6201,20171231,4.0,USD,90000000.0,0000006201-18-000009,EQ,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap/2017,Share-based compensation expense
1108304,28805,AMERICAN AIRLINES GROUP INC.,4512.0,1231.0,10-K,20171231.0,2017.0,FY,20180221,aal,6201,20151231,4.0,USD,1889000000.0,0000006201-18-000009,IS,AircraftMaintenanceMaterialsAndRepairs,us-gaap/2017,"Maintenance, materials and repairs"
