ticker,cik,shares_outstanding2013,shares_outstanding2014,shares_outstanding2015,shares_outstanding2016,shares_outstanding2017,shares_outstanding2018,shares_outstanding2019,net_income2013,net_income2014,net_income2015,net_income2016,net_income2017,net_income2018,net_income2019,eps2013,eps2014,eps2015,eps2016,eps2017,eps2018,eps2019,cfo2013,cfo2014,cfo2015,cfo2016,cfo2017,cfo2018,cfo2019,debt_proceeds2013,debt_proceeds2014,debt_proceeds2015,debt_proceeds2016,debt_proceeds2017,debt_proceeds2018,debt_proceeds2019,debt_repayments2013,debt_repayments2014,debt_repayments2015,debt_repayments2016,debt_repayments2017,debt_repayments2018,debt_repayments2019,capex2013,capex2014,capex2015,capex2016,capex2017,capex2018,capex2019,ppe_purchase2013,ppe_purchase2014,ppe_purchase2015,ppe_purchase2016,ppe_purchase2017,ppe_purchase2018,ppe_purchase2019,ppe_sale2013,ppe_sale2014,ppe_sale2015,ppe_sale2016,ppe_sale2017,ppe_sale2018,ppe_sale2019,ppe2013,ppe2014,ppe2015,ppe2016,ppe2017,ppe2018,ppe2019,ppe_prev2013,ppe_prev2014,ppe_prev2015,ppe_prev2016,ppe_prev2017,ppe_prev2018,ppe_prev2019,revenue2013,revenue2014,revenue2015,revenue2016,revenue2017,revenue2018,revenue2019,operating_income2013,operating_income2014,operating_income2015,operating_income2016,operating_income2017,operating_income2018,operating_income2019,dep_amort2013,dep_amort2014,dep_amort2015,dep_amort2016,dep_amort2017,dep_amort2018,dep_amort2019,ebitda2013,ebitda2014,ebitda2015,ebitda2016,ebitda2017,ebitda2018,ebitda2019,shares_outstanding_coalesced2013,shares_outstanding_coalesced2014,shares_outstanding_coalesced2015,shares_outstanding_coalesced2016,shares_outstanding_coalesced2017,shares_outstanding_coalesced2018,shares_outstanding_coalesced2019,capex_coalesced2013,capex_coalesced2014,capex_coalesced2015,capex_coalesced2016,capex_coalesced2017,capex_coalesced2018,capex_coalesced2019,net_debt_proceeds2013,net_debt_proceeds2014,net_debt_proceeds2015,net_debt_proceeds2016,net_debt_proceeds2017,net_debt_proceeds2018,net_debt_proceeds2019,fcfe2013,fcfe2014,fcfe2015,fcfe2016,fcfe2017,fcfe2018,fcfe2019,fcfe_per_share2013,fcfe_per_share2014,fcfe_per_share2015,fcfe_per_share2016,fcfe_per_share2017,fcfe_per_share2018,fcfe_per_share2019,ltd2013,ltd2014,ltd2015,ltd2016,ltd2017,ltd2018,ltd2019,std2013,std2014,std2015,std2016,std2017,std2018,std2019,cash2013,cash2014,cash2015,cash2016,cash2017,cash2018,cash2019,avg_price2013,avg_price2014,avg_price2015,avg_price2016,avg_price2017,avg_price2018,avg_price2019,current_price,revenue_last_value,revenue_last_year,revenue_first_value,revenue_first_year,revenue_years_avail,revenue_years_between,shares_outstanding_last_value,shares_outstanding_last_year,shares_outstanding_first_value,shares_outstanding_first_year,shares_outstanding_years_avail,shares_outstanding_years_between,fcfe_last_value,fcfe_last_year,fcfe_first_value,fcfe_first_year,fcfe_years_avail,fcfe_years_between,fcfe_per_share_last_value,fcfe_per_share_last_year,fcfe_per_share_first_value,fcfe_per_share_first_year,fcfe_per_share_years_avail,fcfe_per_share_years_between,fcfe_yield2013,fcfe_yield2014,fcfe_yield2015,fcfe_yield2016,fcfe_yield2017,fcfe_yield2018,fcfe_yield2019,avg_fcfe_yield,revenue_CAGR,fcfe_per_share_CAGR,estimated_fcfe_multiplier,estimated_fcfe_per_share_CAGR,estimated_fcfe_f1,estimated_fcfe_f2,estimated_fcfe_f3,estimated_fcfe_f4,estimated_fcfe_f5,estimated_fcfe_f6,estimated_fcfe_f7,estimated_fcfe_f8,estimated_fcfe_f9,estimated_fcfe_f10,estimated_sale_price,estimated_total_cfs,estimated_IRR
abt,1800,1574000000.0,1527000000.0,1506000000.0,1483000000.0,1749000000.0,1770000000.0,1781000000.0,2576000000.0,2284000000.0,4423000000.0,1400000000.0,477000000.0,2368000000.0,3687000000.0,1.62,1.49,2.92,0.94,0.27,1.33,2.06,3324000000.0,3675000000.0,2966000000.0,3203000000.0,5570000000.0,6300000000.0,6136000000.0,9000000.0,,2485000000.0,14934000000.0,6742000000.0,4009000000.0,1842000000.0,303000000.0,577000000.0,57000000.0,12000000.0,8650000000.0,12433000000.0,3441000000.0,,,,,,,,1145000000.0,1077000000.0,1110000000.0,1121000000.0,1135000000.0,1394000000.0,1638000000.0,,,,,,,,5905000000.0,5935000000.0,5730000000.0,5705000000.0,7607000000.0,7563000000.0,8038000000.0,8063000000.0,5905000000.0,5935000000.0,5730000000.0,5705000000.0,7607000000.0,7563000000.0,21848000000.0,20247000000.0,20405000000.0,20853000000.0,27390000000.0,30578000000.0,31904000000.0,2629000000.0,2599000000.0,2867000000.0,3185000000.0,1726000000.0,3650000000.0,4532000000.0,928000000.0,918000000.0,871000000.0,803000000.0,1046000000.0,1100000000.0,1078000000.0,3557000000.0,3517000000.0,3738000000.0,3988000000.0,2772000000.0,4750000000.0,5610000000.0,1574000000.0,1527000000.0,1506000000.0,1483000000.0,1749000000.0,1770000000.0,1781000000.0,1145000000.0,1077000000.0,1110000000.0,1121000000.0,1135000000.0,1394000000.0,1638000000.0,-294000000.0,-577000000.0,2428000000.0,14922000000.0,-1908000000.0,-8424000000.0,-1599000000.0,2482000000.0,3175000000.0,1913000000.0,2094000000.0,13085000000.0,17339000000.0,7939000000.0,1.576874205844981,2.079240340537001,1.2702523240371846,1.412002697235334,7.4814179531160665,9.796045197740114,4.457608085345312,3388000000.0,3408000000.0,5871000000.0,20681000000.0,27210000000.0,19359000000.0,16661000000.0,9000000.0,55000000.0,3000000.0,3000000.0,508000000.0,7000000.0,1277000000.0,3475000000.0,4063000000.0,5001000000.0,18620000000.0,9407000000.0,3844000000.0,3860000000.0,30.865045933496386,36.17746131382291,41.76108955201649,37.38903527032761,45.95503572258816,61.98292359127942,79.04222082616798,99.0,31904000000.0,2019,21848000000.0,2013,7,6,1781000000.0,2019,1574000000.0,2013,7,6,7939000000.0,2019,2482000000.0,2013,7,6,4.457608085345312,2019,1.576874205844981,2013,7,6,0.05108931991362026,0.05747336228212762,0.030417126029602087,0.03776515459750084,0.16279865384673708,0.1580442584853863,0.05639527886176955,0.07914045057382053,0.06513725444228435,0.1890975169398017,9.47682246641262,0.14182313770485128,5.089800050667499,5.811651464143475,6.6358781100352955,7.5769991650274395,8.65159296099867,9.878589020872708,11.27960151190957,12.879309990388968,14.705894144699371,16.791530195056037,159.13035059795294,159.431197211752,0.04880273515947753
amd,2488,766000000.0,776000000.0,791000000.0,931000000.0,1039000000.0,1079000000.0,1188000000.0,-83000000.0,-403000000.0,-660000000.0,-497000000.0,43000000.0,337000000.0,341000000.0,-0.11,-0.53,-0.84,-0.6,0.04,0.32,0.3,-148000000.0,-98000000.0,-226000000.0,90000000.0,68000000.0,34000000.0,493000000.0,0.0,1155000000.0,100000000.0,782000000.0,0.0,0.0,,55000000.0,1115000000.0,44000000.0,1113000000.0,110000000.0,41000000.0,403000000.0,,,,,,,,84000000.0,95000000.0,96000000.0,77000000.0,113000000.0,163000000.0,217000000.0,238000000.0,0.0,8000000.0,0.0,0.0,,,346000000.0,302000000.0,188000000.0,164000000.0,261000000.0,348000000.0,500000000.0,658000000.0,346000000.0,302000000.0,188000000.0,164000000.0,261000000.0,348000000.0,5299000000.0,5506000000.0,3991000000.0,4272000000.0,5329000000.0,6475000000.0,6731000000.0,103000000.0,-155000000.0,-481000000.0,-372000000.0,204000000.0,451000000.0,631000000.0,236000000.0,203000000.0,167000000.0,133000000.0,144000000.0,170000000.0,222000000.0,339000000.0,48000000.0,-314000000.0,-239000000.0,348000000.0,621000000.0,853000000.0,766000000.0,776000000.0,791000000.0,931000000.0,1039000000.0,1079000000.0,1188000000.0,-154000000.0,95000000.0,88000000.0,77000000.0,113000000.0,163000000.0,217000000.0,-55000000.0,40000000.0,56000000.0,-331000000.0,-110000000.0,-41000000.0,-403000000.0,61000000.0,922000000.0,-270000000.0,1126000000.0,65000000.0,-88000000.0,679000000.0,0.07963446475195822,1.1881443298969072,-0.3413400758533502,1.2094522019334049,0.06256015399422522,-0.08155699721964782,0.5715488215488216,1998000000.0,2035000000.0,2032000000.0,1435000000.0,1325000000.0,1114000000.0,486000000.0,60000000.0,177000000.0,230000000.0,,,,,869000000.0,805000000.0,785000000.0,1264000000.0,1185000000.0,1078000000.0,1466000000.0,3.3785714393570307,3.662063511591109,2.3317460200143243,5.254920634485426,12.411673283671954,17.214501962243798,29.877649428834953,68.0,6731000000.0,2019,5299000000.0,2013,7,6,1188000000.0,2019,766000000.0,2013,7,6,679000000.0,2019,61000000.0,2013,7,6,0.5715488215488216,2019,0.07963446475195822,2013,7,6,0.023570454608209584,0.32444667497879554,-0.1463881884748551,0.23015613099774954,0.005040428680678018,-0.0047376913603730765,0.01912964481728001,0.06445963632106923,0.04067297953756399,0.38886077143535047,11.63518820156383,0.29164557857651285,0.7382385082941517,0.9535425051730615,1.2316389607915563,1.590841018108985,2.0548027672586286,2.654076909176391,3.428126704939703,4.427924701235437,5.7193093626204785,7.387320650739994,85.95286607665882,48.13868816499721,-0.0339523823594956
apd,2969,,,217300000.0,218300000.0,219800000.0,220900000.0,222100000.0,,991700000.0,1277900000.0,631100000.0,3000400000.0,1497800000.0,1760000000.0,,4.61,5.88,2.89,13.65,6.78,7.94,,2186400000.0,2437800000.0,2707400000.0,2534100000.0,2554700000.0,2969900000.0,,461000000.0,338800000.0,960400000.0,2400000.0,500000.0,0.0,,608600000.0,708700000.0,485000000.0,483900000.0,418700000.0,428600000.0,,,,,,,,,1684200000.0,1614800000.0,1055800000.0,1039700000.0,1568400000.0,1989700000.0,,,,,,,,,9532100000.0,9636900000.0,8852700000.0,8440200000.0,9923700000.0,10337600000.0,,8974000000.0,9532100000.0,8745100000.0,8259700000.0,8440200000.0,9923700000.0,,10439000000.0,9894900000.0,9524400000.0,8187600000.0,8930200000.0,8918900000.0,,1328200000.0,1699100000.0,2106000000.0,1427600000.0,1965600000.0,2144400000.0,,956900000.0,936400000.0,925900000.0,865800000.0,970700000.0,1082800000.0,,2285100000.0,2635500000.0,3031900000.0,2293400000.0,2936300000.0,3227200000.0,,215119305.85683295,217300000.0,218300000.0,219800000.0,220900000.0,222100000.0,,1684200000.0,1614800000.0,1055800000.0,1039700000.0,1568400000.0,1989700000.0,,-147600000.0,-369900000.0,475400000.0,-481500000.0,-418200000.0,-428600000.0,,1110800000.0,1531700000.0,2136600000.0,1978300000.0,1405000000.0,1408800000.0,,5.163646263991127,7.048780487804878,9.787448465414567,9.000454959053686,6.360344047080127,6.343088698784332,,4824500000.0,3949100000.0,4918100000.0,3402400000.0,2967400000.0,2907300000.0,,65300000.0,435600000.0,371300000.0,416400000.0,406600000.0,40400000.0,,336600000.0,206400000.0,1501300000.0,3273600000.0,2791300000.0,2248700000.0,74.55965057251946,99.01603632124643,114.5342375134665,119.11020627097479,135.8048666539895,154.40474825551308,202.7526719294696,294.0,8918900000.0,2019,10439000000.0,2014,6,5,222100000.0,2019,215119305.85683295,2014,6,5,1408800000.0,2019,1110800000.0,2014,6,5,6.343088698784332,2019,5.163646263991127,2014,6,5,,0.052149595720417,0.06154299920123107,0.08217136693683662,0.06627490737858091,0.04119267133258661,0.031284858731681055,0.05576939988355556,-0.030985045572604175,0.04200273824968481,13.448235081710978,0.03150205368726361,6.542909019516511,6.7490240907202015,6.961632209962705,7.1809379215919344,7.407152213522831,7.640492720222961,7.881183932092572,8.129457411440553,8.385552015264077,8.649714125046266,116.32338894321818,-102.14855539740117,
swks,4127,,,194900000.0,192100000.0,186700000.0,183200000.0,174500000.0,,457700000.0,798300000.0,995200000.0,1010200000.0,918400000.0,853600000.0,,2.38,4.1,5.18,5.41,5.01,4.89,,772400000.0,992800000.0,1095700000.0,1471300000.0,1260600000.0,1367400000.0,,,,,,,,,0.0,,,,,,,208600000.0,430100000.0,189300000.0,303300000.0,422300000.0,398400000.0,,208600000.0,430100000.0,189300000.0,303300000.0,422300000.0,398400000.0,,,,,,,,,555900000.0,826400000.0,806300000.0,882300000.0,1140900000.0,1205600000.0,,328600000.0,555900000.0,826400000.0,806300000.0,882300000.0,1140900000.0,,2291500000.0,3258400000.0,3289000000.0,3651400000.0,3868000000.0,3376800000.0,,565200000.0,1023100000.0,1118700000.0,1253800000.0,1319300000.0,952000000.0,,96800000.0,162300000.0,214400000.0,227200000.0,272500000.0,314900000.0,,662000000.0,1185400000.0,1333100000.0,1481000000.0,1591800000.0,1266900000.0,,192310924.3697479,194900000.0,192100000.0,186700000.0,183200000.0,174500000.0,,208600000.0,430100000.0,189300000.0,303300000.0,422300000.0,398400000.0,,0.0,0.0,0.0,0.0,0.0,0.0,,563800000.0,562700000.0,906400000.0,1168000000.0,838300000.0,969000000.0,,2.931710727550797,2.887121600820934,4.718375845913586,6.256025709694697,4.575873362445415,5.553008595988539,,,,,,,,,,,,,,,,805800000.0,1043600000.0,1083800000.0,1616800000.0,733300000.0,851300000.0,21.678092600807307,43.89823222538781,82.85788324144151,66.31155881427583,95.6606517958926,89.49251848198028,82.0586695728074,136.0,3376800000.0,2019,2291500000.0,2014,6,5,174500000.0,2019,192310924.3697479,2014,6,5,969000000.0,2019,563800000.0,2014,6,5,5.553008595988539,2019,2.931710727550797,2014,6,5,,0.06678425483054626,0.03484425968749507,0.0711546513199716,0.0653981087547149,0.051131350866684876,0.06767119945884054,0.05949730415304221,0.0806301877131339,0.13626975251369267,12.605613156367706,0.1022023143852695,6.120538926299863,6.746072169852841,7.435536358621859,8.195465383168832,9.033060912793045,9.95626064406361,10.973813524509886,12.095362664347169,13.331536721972627,14.694050629270441,185.22751793266465,147.80921586756483,0.008361511231409047
hwm,4281,,,,,,,463000000.0,-2285000000.0,268000000.0,-322000000.0,-941000000.0,-74000000.0,642000000.0,470000000.0,-2.14,0.21,-0.31,-2.31,-0.28,1.3,1.03,1578000000.0,1674000000.0,1582000000.0,870000000.0,701000000.0,217000000.0,406000000.0,1852000000.0,2878000000.0,1901000000.0,1962000000.0,816000000.0,600000000.0,400000000.0,2317000000.0,1723000000.0,2030000000.0,2734000000.0,1634000000.0,1103000000.0,806000000.0,1193000000.0,1219000000.0,1180000000.0,1125000000.0,596000000.0,768000000.0,586000000.0,1193000000.0,1219000000.0,1180000000.0,1125000000.0,596000000.0,768000000.0,586000000.0,,,,,,,,17639000000.0,16426000000.0,14815000000.0,5499000000.0,5594000000.0,5704000000.0,5463000000.0,18947000000.0,17639000000.0,16426000000.0,5425000000.0,5499000000.0,5594000000.0,5704000000.0,,,,,,14014000000.0,14192000000.0,,,,,326000000.0,1325000000.0,1035000000.0,1422000000.0,1372000000.0,1280000000.0,1132000000.0,551000000.0,576000000.0,536000000.0,1422000000.0,1372000000.0,1280000000.0,1132000000.0,877000000.0,1901000000.0,1571000000.0,1067757009.3457943,1276190476.1904762,1038709677.4193548,407359307.35930735,264285714.28571427,493846153.84615386,463000000.0,1193000000.0,1219000000.0,1180000000.0,1125000000.0,596000000.0,768000000.0,586000000.0,-465000000.0,1155000000.0,-129000000.0,-772000000.0,-818000000.0,-503000000.0,-406000000.0,2702000000.0,2178000000.0,2432000000.0,2479000000.0,1739000000.0,552000000.0,626000000.0,2.5305382932166305,1.7066417910447762,2.3413664596273294,6.085536663124336,6.58,1.1177570093457945,1.3520518358531317,7607000000.0,8769000000.0,9044000000.0,8044000000.0,6806000000.0,5896000000.0,4906000000.0,655000000.0,29000000.0,21000000.0,4000000.0,,,,1437000000.0,1877000000.0,1919000000.0,1863000000.0,2150000000.0,2277000000.0,1648000000.0,,,,,,,29.242630880387107,15.0,14192000000.0,2019,14014000000.0,2018,2,1,463000000.0,2019,1067757009.3457943,2013,7,6,626000000.0,2019,2702000000.0,2013,7,6,1.3520518358531317,2019,2.5305382932166305,2013,7,6,,,,,,,0.04623564279778761,0.006605091828255373,0.012701584130155652,-0.09919648651755242,113.54876200080025,-0.07439736488816431,1.2514627420734539,1.1583572118074725,1.0721784876497953,0.9924112334788735,0.9185784528226325,0.8502386364895816,0.786983122408651,0.7284336518899878,0.6742401076935102,0.624078420379201,70.86333202547327,64.92029409216643,0.15778767470299382
hes,4447,340900000.0,307700000.0,283600000.0,309900000.0,314100000.0,298200000.0,301200000.0,5052000000.0,2317000000.0,-3056000000.0,-6132000000.0,-4074000000.0,-282000000.0,-408000000.0,14.82,7.53,-10.78,-19.92,-13.12,-1.1,-1.37,4870000000.0,4511000000.0,2016000000.0,795000000.0,945000000.0,1939000000.0,1642000000.0,535000000.0,598000000.0,710000000.0,1496000000.0,800000000.0,0.0,760000000.0,1271000000.0,590000000.0,67000000.0,1455000000.0,459000000.0,633000000.0,8000000.0,5840000000.0,5274000000.0,,,,,,5840000000.0,5274000000.0,,,,,,,,,,,,,28771000000.0,27517000000.0,26352000000.0,23595000000.0,16192000000.0,16083000000.0,16814000000.0,28807000000.0,28771000000.0,27517000000.0,26352000000.0,23595000000.0,16192000000.0,16083000000.0,24421000000.0,11439000000.0,6561000000.0,4844000000.0,5405000000.0,6466000000.0,6510000000.0,,,,,,,,2770000000.0,3224000000.0,3955000000.0,3244000000.0,2883000000.0,1883000000.0,2122000000.0,2770000000.0,3224000000.0,3955000000.0,3244000000.0,2883000000.0,1883000000.0,2122000000.0,340900000.0,307700000.0,283600000.0,309900000.0,314100000.0,298200000.0,301200000.0,5840000000.0,5274000000.0,-1165000000.0,-2757000000.0,-7403000000.0,-109000000.0,731000000.0,-736000000.0,8000000.0,643000000.0,41000000.0,341000000.0,-633000000.0,752000000.0,301000000.0,-173000000.0,3248000000.0,5007000000.0,8807000000.0,2681000000.0,919000000.0,0.8829568788501027,-0.5622359441013974,11.452750352609309,16.1568247821878,28.038841133397007,8.990610328638498,3.051128818061089,5420000000.0,5919000000.0,6544000000.0,6694000000.0,6397000000.0,6605000000.0,7142000000.0,,,86000000.0,112000000.0,580000000.0,67000000.0,0.0,1814000000.0,2444000000.0,2716000000.0,2732000000.0,4847000000.0,2694000000.0,1545000000.0,64.17781725383941,77.78292583283923,57.914507608565074,48.639330122205955,43.994483294240034,55.76834867864965,59.875961531680886,50.0,6510000000.0,2019,24421000000.0,2013,7,6,301200000.0,2019,340900000.0,2013,7,6,919000000.0,2019,301000000.0,2013,7,6,3.051128818061089,2019,0.8829568788501027,2013,7,6,0.013757976145523711,-0.007228269418788393,0.19775270179307441,0.3321761369162342,0.637326297160262,0.16121349370490617,0.050957491788198014,0.1979936897270586,-0.1977625641677162,0.2295707074593072,3.7879995116708107,0.1721780305944804,3.576466169044912,4.192255070518851,4.914069292310511,5.760164065265348,6.751937769923832,7.914473117845805,9.277171512469454,10.874496632973662,12.746846046945375,14.941572895599469,56.59867083212461,87.54812340502183,0.0576151996582428
aep,4904,487040956.0,488899840.0,490574568.0,491662007.0,492611067.0,493758277.0,495306238.0,1480000000.0,,,,310500000.0,,,3.04,3.34,4.17,1.24,3.88,3.9,3.88,4106000000.0,4613000000.0,4748700000.0,4521800000.0,4270400000.0,5223200000.0,4270100000.0,3207000000.0,2067000000.0,3436600000.0,2594900000.0,3854100000.0,4945700000.0,4536600000.0,2598000000.0,1780000000.0,2397900000.0,1794900000.0,3087900000.0,2782000000.0,1220800000.0,,,,,,,,32000000.0,65000000.0,5300000.0,107900000.0,9100000.0,37400000.0,918400000.0,62975000.0,6000000.0,3300000.0,,,,,40997000000.0,44117000000.0,46133200000.0,45639300000.0,50261500000.0,55099100000.0,60138100000.0,38763000000.0,40997000000.0,43635100000.0,46133200000.0,45639300000.0,50261500000.0,55099100000.0,15357000000.0,17020000000.0,16453200000.0,16380100000.0,15424900000.0,16195700000.0,15561400000.0,2855000000.0,3232000000.0,3333500000.0,1207100000.0,3570500000.0,2682700000.0,2592300000.0,,,,,,,,2855000000.0,3232000000.0,3333500000.0,1207100000.0,3570500000.0,2682700000.0,2592300000.0,487040956.0,488899840.0,490574568.0,491662007.0,492611067.0,493758277.0,495306238.0,-30975000.0,59000000.0,2000000.0,107900000.0,9100000.0,37400000.0,918400000.0,609000000.0,287000000.0,1038700000.0,800000000.0,766200000.0,2163700000.0,3315800000.0,6734975000.0,6334000000.0,7144600000.0,6208800000.0,7349200000.0,7967800000.0,4572500000.0,13.828354509061041,12.955618885046066,14.563739064435154,12.628187477581525,14.918869047657836,16.13704594161163,9.231662452835895,16828000000.0,16181000000.0,17740900000.0,17378400000.0,19419600000.0,21648200000.0,25126800000.0,1549000000.0,2503000000.0,1831800000.0,2878000000.0,1753700000.0,1698500000.0,1598700000.0,118000000.0,163000000.0,176400000.0,210500000.0,214600000.0,234100000.0,246800000.0,35.8723869929238,42.967058181762695,47.7277823554145,55.98077831571064,63.435902097785615,65.85740050661612,84.72208668986164,83.0,15561400000.0,2019,15357000000.0,2013,7,6,495306238.0,2019,487040956.0,2013,7,6,4572500000.0,2019,6734975000.0,2013,7,6,9.231662452835895,2019,13.828354509061041,2013,7,6,0.385487436667898,0.3015244569511873,0.3051417506890086,0.225580777143956,0.23518021426826397,0.2450301077399871,0.10896405900187314,0.2581298289231677,0.002206112034117913,-0.06512925703574046,2.905514651788799,-0.04884694277680535,8.780723965267438,8.351812444197096,7.943851939652789,7.555819058529156,7.186740397345287,6.835690100404406,6.501787537229977,6.184195093451959,5.88211606960151,5.594792682543158,16.255752112849905,4.073281401072676,-0.2602471752675056
axp,4962,1089000000.0,1051000000.0,1003000000.0,935000000.0,886000000.0,859000000.0,830000000.0,5359000000.0,5885000000.0,5163000000.0,5408000000.0,2736000000.0,6921000000.0,6759000000.0,4.88,,,,,,,8547000000.0,10990000000.0,10972000000.0,8224000000.0,13540000000.0,8930000000.0,13632000000.0,11995000000.0,16020000000.0,9926000000.0,8824000000.0,32764000000.0,21524000000.0,12706000000.0,14763000000.0,12768000000.0,19610000000.0,9848000000.0,24082000000.0,18895000000.0,13850000000.0,,,,,,,,1006000000.0,1195000000.0,1341000000.0,1375000000.0,1062000000.0,1310000000.0,1645000000.0,72000000.0,3000000.0,42000000.0,2000000.0,1000000.0,1000000.0,43000000.0,3875000000.0,3938000000.0,4108000000.0,4433000000.0,4329000000.0,4416000000.0,4834000000.0,3635000000.0,3875000000.0,3938000000.0,4108000000.0,4433000000.0,4329000000.0,4416000000.0,,,,,,,,,,,,,,,,1012000000.0,1043000000.0,1095000000.0,1321000000.0,1293000000.0,1188000000.0,0.0,1012000000.0,1043000000.0,1095000000.0,1321000000.0,1293000000.0,1188000000.0,1089000000.0,1051000000.0,1003000000.0,935000000.0,886000000.0,859000000.0,830000000.0,934000000.0,1192000000.0,1299000000.0,1373000000.0,1061000000.0,1309000000.0,1602000000.0,-2768000000.0,3252000000.0,-9684000000.0,-1024000000.0,8682000000.0,2629000000.0,-1144000000.0,22376000000.0,22566000000.0,29283000000.0,16699000000.0,36561000000.0,26516000000.0,25880000000.0,20.54729109274564,21.470980019029497,29.195413758723827,17.85989304812834,41.26523702031603,30.868451688009312,31.180722891566266,,,,,,,,,,,,,,,,,,,,,,65.49710435715933,81.58593174767874,71.72041348048619,59.73743016379221,80.67354416562267,97.63781969290804,114.10940636866596,95.0,,0,,0,0,0,830000000.0,2019,1089000000.0,2013,7,6,25880000000.0,2019,22376000000.0,2013,7,6,31.180722891566266,2019,20.54729109274564,2013,7,6,0.31371296936579246,0.26317012699484654,0.407072580063518,0.2989732400466316,0.5115089146895363,0.31615261161194746,0.2732528709406062,0.3405490448161255,-1.0,0.07198473482577539,2.2023259539751505,0.05398855111933154,32.8641249433353,34.63841143283065,36.50848907916446,38.47952950810449,40.55698355400061,42.746596333851656,45.05442313519923,47.48684616178592,50.05059218328733,52.75275113792755,116.17875297465,442.3175004441372,0.16627522947999562
afl,4977,467408000.0,454000000.0,433172000.0,413921000.0,398930000.0,774650000.0,746430000.0,3158000000.0,2951000000.0,2533000000.0,2659000000.0,4604000000.0,2920000000.0,3304000000.0,6.76,6.5,5.85,6.42,11.54,3.77,4.43,10547000000.0,6550000000.0,6776000000.0,5987000000.0,6128000000.0,6014000000.0,5455000000.0,,,,,,,,0.0,335000000.0,1272000000.0,621000000.0,1161000000.0,550000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,481000000.0,429000000.0,427000000.0,433000000.0,434000000.0,443000000.0,581000000.0,564000000.0,481000000.0,429000000.0,427000000.0,433000000.0,434000000.0,443000000.0,23939000000.0,22728000000.0,20872000000.0,22559000000.0,21667000000.0,21758000000.0,22307000000.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467408000.0,454000000.0,433172000.0,413921000.0,398930000.0,774650000.0,746430000.0,-83000000.0,-52000000.0,-2000000.0,6000000.0,1000000.0,9000000.0,138000000.0,0.0,-335000000.0,-1272000000.0,-621000000.0,-1161000000.0,-550000000.0,0.0,10630000000.0,6937000000.0,8050000000.0,6602000000.0,7288000000.0,6555000000.0,5317000000.0,22.74244343271831,15.279735682819384,18.583841984246444,15.949903483998154,18.26886922517735,8.461886013038146,7.123239955521616,,,,,,,,,,,,,,,2543000000.0,4658000000.0,4350000000.0,4859000000.0,3491000000.0,4337000000.0,4896000000.0,22.269426149035255,24.72586098171416,26.155109912630113,30.242910846831307,36.358058032761534,42.84480012080584,50.24063320083921,36.0,22307000000.0,2019,23939000000.0,2013,7,6,746430000.0,2019,467408000.0,2013,7,6,5317000000.0,2019,10630000000.0,2013,7,6,7.123239955521616,2019,22.74244343271831,2013,7,6,1.0212406588529694,0.6179657684769565,0.7105243314336998,0.5273931323865706,0.5024709848011033,0.1975008866695348,0.14178244782557062,0.5312683157780578,-0.011699093400426186,-0.1759123446903157,1.4117160344892832,-0.13193425851773677,6.183440573745956,5.367632926560295,4.659458256399172,4.044716086246801,3.511079468493067,3.047847802220585,2.645732262359698,2.296669538088817,1.9936601455207965,1.7306280724851468,2.443155399664563,1.924020531784895,-0.2539108571545481
aig,5272,1481206797.0,1447553652.0,1334464883.0,1091085131.0,930561286.0,910141242.0,896380725.0,9085000000.0,9665000000.0,3989000000.0,-238000000.0,1929000000.0,-6000000.0,3348000000.0,6.13,5.2,1.65,-0.78,-6.54,-0.01,3.74,6422000000.0,9316000000.0,4443000000.0,2515000000.0,1413000000.0,61000000.0,-928000000.0,,,6867000000.0,5954000000.0,3356000000.0,4734000000.0,3881000000.0,14197000000.0,16160000000.0,9805000000.0,4082000000.0,3698000000.0,3672000000.0,3202000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68678000000.0,64406000000.0,58953000000.0,52875000000.0,49520000000.0,47389000000.0,49746000000.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1481206797.0,1447553652.0,1334464883.0,1091085131.0,930561286.0,910141242.0,896380725.0,,,,,,,,-14197000000.0,-16160000000.0,-2938000000.0,1872000000.0,-342000000.0,1062000000.0,679000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241000000.0,1758000000.0,1629000000.0,1868000000.0,2362000000.0,2873000000.0,2856000000.0,38.63428028046139,46.07208666725764,51.81582092103504,51.51016303471157,57.355885813435705,49.29027587769041,48.50974516849594,30.0,49746000000.0,2019,68678000000.0,2013,7,6,896380725.0,2019,1481206797.0,2013,7,6,,0,,0,0,0,,0,,0,0,0,,,,,,,,,-0.052330825280986204,-1.0,0.0,-0.75,,,,,,,,,,,,,
