,ticker,sector,industry,price,eps_ttm,pe_ttm,roa_ttm,roe_ttm,debt_equity_ratio_mrq,revenue_ttm,ma_200,ma_50,current_ratio_mrq,div_yield_ttm,div_yield_5y_avg,high_52,low_52,growth_est_f5y,growth_est_p5y,growth_est_f1y,predicted_intrinsic_value,predicted_premium_percent,size_filter,pe_filter,div_filter,strong_div_filter,div_above_5y_avg_filter,current_ratio_mrq_filter,roa_ttm_filter
0,aap,Consumer Cyclical,Specialty Retail,147.27,5.5,26.69,0.034,0.10949999999999999,118.24,9450000000.0,128.95,142.45,1.36,0.29,0.18,171.43,71.33,0.075,-0.0323,0.295,63.23009093698697,132.91125762694924,True,True,True,False,True,True,False
0,aapl,Technology,Consumer Electronics,370.46,12.73,29.8,0.12380000000000001,0.6209,151.43,267980000000.00003,311.93,366.21,1.5,0.83,1.57,399.82,192.58,0.1151,0.0842,0.205,271.6154247187206,36.39137040307663,True,True,True,False,False,True,True
0,abbv,Healthcare,Drug Manufacturers—General,97.11,5.65,17.2,0.11800000000000001,,,34060000000.000004,88.03,97.23,3.14,4.63,3.96,101.28,62.55,0.1192,0.2191,0.151,72.6484969007232,33.6710381395837,True,True,True,True,True,True,True
0,abc,Healthcare,Medical Distribution,103.76,7.59,13.71,0.0286,0.4722,126.07,186160000000.0,91.64,100.0,0.97,1.56,1.68,105.08,72.06,0.08199999999999999,0.087,0.09699999999999999,49.69433842685833,108.79642084926272,True,True,True,False,False,False,False
0,abmd,Healthcare,Medical Devices,292.94,4.43,67.41,0.1369,0.2028,1.15,840880000.0,195.27,261.25,4.82,,,301.11,119.01,0.24,0.6037,0.424,570.356400786227,-48.63913167342613,False,False,False,False,False,True,True
0,abt,Healthcare,Medical Devices,98.95,1.73,57.76,,,60.05,31440000000.0,88.04,92.85,,1.41,1.94,101.98,61.61,0.1153,0.0815,0.201,71.69843948860591,38.00858248208432,True,False,True,False,False,False,False
0,acn,Technology,Information Technology Services,221.44,7.64,29.22,0.1293,0.3282,21.31,44550000000.0,193.83,212.97,1.37,1.45,1.74,225.74,137.15,0.0748,0.1091,0.057999999999999996,95.86347947979013,130.99516228876692,True,True,True,False,False,True,True
0,adbe,Technology,Software—Infrastructure,430.31,7.58,57.67,0.1144,0.3555,43.17,12050000000.0,368.05,430.86,1.29,,,470.61,255.13,0.15,0.45880000000000004,0.13699999999999998,437.13860000000005,-1.5621132519525904,True,False,False,False,False,True,True
0,adi,Technology,Semiconductors,112.21,2.99,38.72,0.0429,0.0953,53.08,5540000000.0,110.34,119.66,1.3,2.07,2.22,127.39,79.08,0.0819,0.21280000000000002,0.177,55.20999180378996,103.24219644658088,True,True,True,False,False,True,False
0,adm,Consumer Defensive,Farm Products,42.09,2.72,15.49,0.022099999999999998,0.0808,70.82,64319999999.99999,39.01,40.22,1.51,3.35,3.01,47.2,28.92,-0.08800000000000001,0.009300000000000001,0.175,-15.37575479851637,-373.7426588258375,True,True,True,False,True,True,False
0,adp,,,145.43,5.83,25.01,0.044000000000000004,0.47130000000000005,44.88,14760000000.0,150.88,148.68,1.03,2.34,2.1,182.32,103.11,0.122,0.1637,-0.01,112.18417857664467,29.635035746722217,True,True,True,False,True,False,False
0,adsk,Technology,Software—Application,232.88,1.36,175.73,0.056799999999999996,,,3420000000.0,196.33,236.92,0.79,,,251.39,125.38,0.3298,0.08689999999999999,0.418,746.3705033952938,-68.79833823273938,True,False,False,False,False,False,False
0,aee,Utilities,Utilities—Regulated Electric,79.52,3.16,25.01,0.028900000000000002,0.09820000000000001,125.81,5540000000.0,75.89,73.9,0.62,2.44,3.03,87.66,58.74,0.058499999999999996,0.0824,0.09,25.69251196001228,209.506521292136,True,True,True,False,False,False,False
0,aep,Utilities,Utilities—Regulated Electric,88.05,3.72,22.38,0.023799999999999998,0.09369999999999999,166.04,15250000000.0,87.46,83.35,0.45,3.11,3.34,104.97,65.14,0.0582,0.0658,0.08199999999999999,26.910129015404873,227.20021501790356,True,True,True,False,False,False,False
0,aes,Utilities,Utilities—Diversified,15.4,0.44,34.58,0.0382,0.0902,441.49,9880000000.0,15.27,14.24,1.06,3.59,3.71,21.23,8.11,0.0735,0.0248,0.11599999999999999,6.403490651456165,140.49383122778534,True,True,True,False,False,False,False
0,afl,Financial Services,Insurance—Life,36.77,3.98,9.15,0.0174,0.11220000000000001,36.84,21810000000.0,39.81,36.37,0.47,2.96,2.29,55.07,23.07,0.016,0.09970000000000001,0.025,2.9743113202807563,1136.2525654015649,True,True,True,False,True,False,False
0,aig,Financial Services,Insurance—Diversified,31.31,4.96,6.22,0.010700000000000001,0.0781,59.36,51760000000.0,34.26,31.77,0.71,4.09,2.32,58.66,16.07,0.045599999999999995,0.0014000000000000002,0.785,7.618976752573381,310.94757231572794,True,True,True,True,True,False,False
0,aiv,Real Estate,REIT—Residential,35.65,1.35,26.59,0.014199999999999999,0.11410000000000001,253.22,909520000.0,41.62,38.14,1.07,4.49,3.23,55.68,24.53,0.071,-0.1848,5.0,14.5209857468571,145.50674879435115,False,True,True,True,True,False,False
0,aiz,Financial Services,Insurance—Specialty,106.79,5.71,18.5,0.0092,0.0689,70.95,10050000000.0,111.29,104.53,0.6,2.3,2.11,142.61,76.27,0.19399999999999998,0.08779999999999999,0.162,149.0202755831924,-28.33861058028766,True,True,True,False,True,False,False
0,ajg,Financial Services,Insurance Brokers,103.93,3.56,29.06,0.024900000000000002,0.1435,105.59,6830000000.0,93.08,98.95,1.07,1.67,2.54,109.46,65.09,0.0901,0.1069,0.062,55.16905191227235,88.38460404442945,True,True,True,False,False,False,False
0,akam,Technology,Software—Infrastructure,111.74,3.0,38.22,0.060899999999999996,0.1421,72.74,2950000000.0,98.89,107.3,3.2,,,116.39,75.18,0.1127,0.12789999999999999,0.085,80.0014721890867,39.67242969716609,True,True,False,False,False,True,False
0,alb,Basic Materials,Specialty Chemicals,87.04,4.77,17.98,0.0516,0.1458,81.25,3500000000.0,73.61,80.51,1.81,1.71,1.65,99.4,48.89,0.15,0.0931,0.26,85.76459999999999,1.4870937426397557,True,True,True,False,True,True,False
0,algn,Healthcare,Medical Devices,298.14,21.47,14.38,0.0527,0.8065000000000001,1.78,2160000000.0,238.04,278.84,1.22,,,326.36,127.88,0.129,0.3256,1.516,254.68722739348468,17.061229591769834,True,True,False,False,False,True,False
0,alk,Industrials,Airlines,35.06,0.46,73.76,-0.004,0.0146,110.98,6670000000.0,41.63,37.21,0.79,3.07,1.84,72.22,20.02,-0.0924,-0.09609999999999999,1.2790000000000001,-12.887807346069588,-372.04006902455984,True,False,True,False,True,False,False
0,all,Financial Services,Insurance—Property & Casualty,94.36,11.92,7.78,0.0301,0.1725,27.44,43760000000.0,101.48,94.66,0.51,2.16,1.82,125.92,64.13,0.0554,0.1605,0.035,28.37442616229547,232.55298084367092,True,True,True,False,True,False,False
0,alle,Industrials,Security & Protection Services,101.02,3.07,33.05,0.12,0.4266,221.09,2730000000.0,107.93,103.9,2.11,1.17,0.8,139.24,77.37,-0.004,0.1433,0.064,-1.9904942306751776,-5175.121466980284,True,True,True,False,True,True,True
0,alxn,Healthcare,Biotechnology,101.49,10.59,10.09,0.0926,0.2213,24.24,5300000000.0,102.83,111.51,4.35,,,125.52,72.67,0.126,0.177,0.076,85.5849640940984,18.58391374495927,True,True,False,False,False,True,False
0,amat,Technology,Semiconductor Equipment & Materials,60.62,3.14,20.09,0.11320000000000001,0.3386,78.22,15430000000.0,56.32,60.89,2.67,1.4,1.5,69.44,36.64,0.2084,0.36829999999999996,0.131,98.34160595106042,-38.3577282333914,True,True,True,False,False,True,True
0,amcr,Consumer Cyclical,Packaging & Containers,10.67,0.31,34.57,,,147.22,11930000000.0,9.57,10.35,1.23,4.4,,11.2,5.8,,,,,,True,True,True,True,False,True,False
0,amd,Technology,Semiconductors,69.4,0.43,161.9,0.0892,0.20190000000000002,23.02,7250000000.0,51.4,54.94,2.21,,,71.63,27.43,0.325,0.3981,0.485,212.28373000966107,-67.30790438021718,True,False,False,False,False,True,False
0,ame,Industrials,Specialty Industrial Machinery,92.9,4.08,22.8,0.0729,0.1917,64.34,5070000000.0,86.94,89.98,1.88,0.65,0.66,102.31,54.82,-0.012,0.114,0.129,-5.387891973763266,-1824.2365001448313,True,True,True,False,False,True,False
0,amgn,Healthcare,Drug Manufacturers—General,247.98,12.77,19.86,0.0955,0.7555,335.77,23970000000.0,226.59,241.62,1.59,2.4,2.53,264.97,174.27,0.0653,0.1084,0.08199999999999999,93.28866715051753,165.82006965529285,True,True,True,False,False,True,False
0,amp,Financial Services,Asset Management,155.26,26.57,5.89,0.0206,0.5638000000000001,77.07,12760000000.0,138.64,150.56,2.68,2.5,2.55,180.85,80.01,0.11560000000000001,0.16390000000000002,0.11699999999999999,112.64989487038572,37.825250683670134,True,True,True,False,False,True,False
0,amt,Real Estate,REIT—Specialty,256.33,4.28,60.82,0.046900000000000004,0.3475,677.2,7760000000.0,243.19,260.48,0.49,1.54,1.79,269.73,174.32,0.1505,0.2352,0.179,261.4360051748908,-1.953061198083672,True,False,True,False,False,False,False
0,anet,Technology,Computer Hardware,236.81,9.89,24.85,0.1298,0.3038,2.76,2340000000.0,213.34,219.81,5.82,,,279.24,156.63,0.0767,0.47450000000000003,0.139,108.62803875423856,118.00080597585114,True,True,False,False,False,True,True
